,Unnamed: 0,run,start_time,type,moviestim,jitters,frames
0,60,4,10.0,scrambled,fps_60/1591975.bmp_pp86_L2_V1_scrambled_freeview_isoFalse_fps60.mp4,10.0,
1,61,4,19.59,scrambled,fps_60/1592804.bmp_pp60_L3_V1_scrambled_freeview_isoFalse_fps60.mp4,3.59,
2,62,4,28.07,scrambled,fps_60/1159318.bmp_pp93_L1_V1_scrambled_freeview_isoFalse_fps60.mp4,2.4800000000000004,
3,63,4,36.17,veridical,fps_60/1159482.bmp_pp97_L3_V1_veridical_freeview_isoFalse_fps60.mp4,2.1000000000000014,
4,64,4,44.9,veridical,fps_60/1591975.bmp_pp86_L2_V1_veridical_freeview_isoFalse_fps60.mp4,2.729999999999997,
5,65,4,53.57,veridical,fps_60/1159777.bmp_pp56_L3_V1_veridical_freeview_isoFalse_fps60.mp4,2.6700000000000017,
6,66,4,64.99,veridical,fps_60/1592804.bmp_pp60_L3_V1_veridical_freeview_isoFalse_fps60.mp4,5.419999999999995,
7,67,4,73.26,scrambled,fps_60/1159777.bmp_pp56_L3_V1_scrambled_freeview_isoFalse_fps60.mp4,2.2700000000000102,
8,68,4,82.26,veridical,fps_60/1159318.bmp_pp93_L1_V1_veridical_freeview_isoFalse_fps60.mp4,3.0,
9,69,4,93.48,scrambled,fps_60/1592568.bmp_pp81_L1_V1_scrambled_freeview_isoFalse_fps60.mp4,5.219999999999999,
10,70,4,104.93,scrambled,fps_60/1159497.bmp_pp91_L3_V1_scrambled_freeview_isoFalse_fps60.mp4,5.450000000000003,
11,71,4,115.01,veridical,fps_60/1592372.bmp_pp89_L1_V1_veridical_freeview_isoFalse_fps60.mp4,4.079999999999998,
12,72,4,126.17,veridical,fps_60/1592568.bmp_pp81_L1_V1_veridical_freeview_isoFalse_fps60.mp4,5.159999999999997,
13,73,4,136.27,veridical,fps_60/1593102.bmp_pp80_L3_V1_veridical_freeview_isoFalse_fps60.mp4,4.1000000000000085,
14,74,4,147.81,veridical,fps_60/1159497.bmp_pp91_L3_V1_veridical_freeview_isoFalse_fps60.mp4,5.539999999999992,
15,75,4,156.79,veridical,fps_60/1592727.bmp_pp69_L3_V1_veridical_freeview_isoFalse_fps60.mp4,2.9799999999999898,
16,76,4,164.95,scrambled,fps_60/1159482.bmp_pp97_L3_V1_scrambled_freeview_isoFalse_fps60.mp4,2.1599999999999966,
17,77,4,173.04,scrambled,fps_60/1592372.bmp_pp89_L1_V1_scrambled_freeview_isoFalse_fps60.mp4,2.0900000000000034,
18,78,4,181.66,scrambled,fps_60/1593102.bmp_pp80_L3_V1_scrambled_freeview_isoFalse_fps60.mp4,2.6200000000000045,
19,79,4,190.0,scrambled,fps_60/1592727.bmp_pp69_L3_V1_scrambled_freeview_isoFalse_fps60.mp4,2.3400000000000034,
